theta_bar,x_c,y_c,vx_c,vy_c,t_bar,nx_s,ny_s,nz_s,lam_x,lam_y,lam_vx,lam_vy,lam_t_bar
1.000000000000000021e-02,-4.286390156506326834e-16,-1.000029480101219725e+00,1.000066052289052543e+00,4.783232800269852773e-05,1.000207815772006723e-02,8.270330396837287656e-01,-5.621390334171780800e-01,-4.007290891962246408e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.182139811631901072e+00,1.794988510960274231e-02,0.000000000000000000e+00
1.025000000000000043e-02,1.564381952475706883e-01,-9.877118921973766508e-01,9.877586843494311486e-01,1.564695006920365783e-01,1.025206704162356409e-02,8.349065559544595061e-01,-5.455973091277029896e-01,7.248875151961725605e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.152507892863810834e+00,-3.304632565039427594e-01,0.000000000000000000e+00
1.050000000000000065e-02,3.090238392443636628e-01,-9.510775826370716501e-01,9.511333344430720205e-01,3.090395995697214904e-01,1.050205325022024981e-02,8.427055529024664038e-01,-5.186947662809063830e-01,1.442327651407416811e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.069987865570499519e+00,-6.699840381325152805e-01,0.000000000000000000e+00
1.075000000000000087e-02,4.540016683503446115e-01,-8.910284438212506819e-01,8.910919944947740534e-01,4.540014140129664533e-01,1.075203877815846497e-02,8.507468584380943888e-01,-4.820856982743759733e-01,2.093398251098443630e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.936548936092632678e+00,-9.928321895358711568e-01,0.000000000000000000e+00
1.099999999999999936e-02,5.878036526570338260e-01,-8.090423203040596478e-01,8.091132319291906017e-01,5.877855965392584370e-01,1.100202569606031390e-02,8.592675729004096707e-01,-4.369112519119350280e-01,2.660221722236415509e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.755238339126986125e+00,-1.291589664959457373e+00,0.000000000000000000e+00
1.124999999999999958e-02,7.071366708120423450e-01,-7.071366708120443434e-01,7.072157790390860566e-01,7.070980563511837236e-01,1.125201610011539524e-02,8.684097075416041811e-01,-3.847678059747271506e-01,3.127591970396720877e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.530129926220987091e+00,-1.559331403301923658e+00,0.000000000000000000e+00
1.149999999999999981e-02,8.090634399360423501e-01,-5.878189969678462301e-01,5.879088219534529536e-01,8.090010708568287079e-01,1.150201206179551905e-02,8.782123721365595603e-01,-3.276057429231301610e-01,3.484501494189104487e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.266262347641146091e+00,-1.789753805607682047e+00,0.000000000000000000e+00
1.175000000000000003e-02,8.910747233072847662e-01,-4.540252489262676105e-01,4.541302129622906136e-01,8.909856224002352665e-01,1.175201557926158769e-02,8.886138297576218203e-01,-2.675728426211091970e-01,3.725187719500204220e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.695645725309011143e-01,-1.977301870855298738e+00,0.000000000000000000e+00
1.200000000000000025e-02,9.511510490968435594e-01,-3.090477099441552022e-01,3.091741272617791192e-01,9.510331789772756839e-01,1.200202853186382521e-02,8.994637854683608102e-01,-2.068303836890209302e-01,3.849494655327878045e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.467657247545993693e-01,-2.117294608306760750e+00,0.000000000000000000e+00
1.225000000000000047e-02,9.878124264402896593e-01,-1.564541183073670516e-01,1.566099451032398893e-01,9.876653974602075392e-01,1.225205263907517411e-02,9.105440882894766386e-01,-1.473756676764148010e-01,3.862510528892012518e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.052859857562711943e-01,-2.206046742612915335e+00,0.000000000000000000e+00
1.250000000000000069e-02,1.000154834908067780e+00,-4.899345668887659399e-16,1.943565116644546957e-04,9.999805250292986836e-01,1.250208942494879585e-02,9.215943062079205994e-01,-9.090035556515445314e-02,3.773606499401731540e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.689429408041399794e-02,-2.240983082500748402e+00,0.000000000000000000e+00
