vx,vy,vz
2.748722001678726883e+03,-7.083687238497435601e+02,-3.443016167169603705e+03
3.174306395490496925e+03,-2.514338708213371376e+02,-3.126180784122192563e+03
3.521737947890084342e+03,2.117003545678591649e+02,-2.732363996492704700e+03
3.782462141441808853e+03,6.696300686002756493e+02,-2.271263200441090703e+03
3.950059586793144263e+03,1.111079614043199172e+03,-1.754232527560326162e+03
4.020404073818239794e+03,1.525179216049808247e+03,-1.194003237330330194e+03
3.991764149873221868e+03,1.901732637011132283e+03,-6.043702041895052162e+02
3.864845727071942747e+03,2.231468240342339868e+03,1.477791614686874977e-01
3.642774672317089880e+03,2.506267282331704337e+03,6.046655170084093243e+02
3.331019811152354578e+03,2.719363812325941126e+03,1.194297941521730309e+03
2.937258242876172062e+03,2.865511260618245615e+03,1.754526635121361778e+03
2.471186283990110951e+03,2.941111613466522158e+03,2.271557320780681948e+03
1.944280695091086727e+03,2.944303995478307570e+03,2.732659519180914231e+03
1.369516069857316779e+03,2.875010478615918601e+03,3.126480010536417922e+03
7.610453438910550403e+02,2.734937989785486934e+03,3.443322383436711789e+03
1.338512891419362063e+02,2.527536269523426654e+03,3.675385787558926950e+03
-4.966224257032647529e+02,2.257912916094819593e+03,3.816957010890305810e+03
-1.114851524899533615e+03,1.932707605908886535e+03,3.864551150874144696e+03
-1.705613401185955126e+03,1.559928586388639133e+03,3.816997414045173628e+03
-2.254361963232680409e+03,1.148755466843255590e+03,3.675467929749743689e+03
-2.747585822993554302e+03,7.093131633038485688e+02,3.443448866746169188e+03
-3.173141000522310605e+03,2.524225644379273490e+02,3.126654562899182110e+03
-3.520549950900281146e+03,-2.106659403210319113e+02,2.732886782290151586e+03
-3.781259547433347507e+03,-6.685495065658420799e+02,2.271842566530965087e+03
-3.948851666601174657e+03,-1.109953629948516209e+03,1.754875414130372292e+03
-4.019201188620686480e+03,-1.524009773449368595e+03,1.194715672092085015e+03
-3.990577523779631974e+03,-1.900522988210068434e+03,6.051570290492580853e+02
-3.863687166949722268e+03,-2.230222936514635421e+03,7.168340824200269967e-01
-3.641656236274222010e+03,-2.504992135229813812e+03,-6.037213903812180433e+02
-3.329953430999756165e+03,-2.718065800292589302e+03,-1.193274435773942969e+03
-2.936255311239107414e+03,-2.864198373381314923e+03,-1.753425868541921545e+03
-2.470257222757518775e+03,-2.939792633582308099e+03,-2.270383441583444437e+03
-1.943434527834784376e+03,-2.942988219079037208e+03,-2.731418656921815909e+03
-1.368760025720161366e+03,-2.873707384028627530e+03,-3.125180122084638697e+03
-7.603845233663143972e+02,-2.733656868936790943e+03,-3.441972989525441335e+03
-1.332884223314692065e+02,-2.526285843238080361e+03,-3.673997605087715783e+03
4.970871009915553600e+02,-2.256700959504577440e+03,-3.815541496609112983e+03
1.115220244874187756e+03,-1.931540613396381104e+03,-3.863119982970319597e+03
1.705890708126959225e+03,-1.558811505822464142e+03,-3.815561948051468789e+03
2.254554392500241192e+03,-1.147691529525877058e+03,-3.674038672407810282e+03
2.747701465624580578e+03,-7.083038286564261625e+02,-3.442035014231258629e+03
3.173188977666662595e+03,-2.514675872220967676e+02,-3.125263646501245148e+03
3.520539848764141880e+03,2.115683262134969596e+02,-2.731524454744925606e+03
3.781200867708225360e+03,6.694023080277978579e+02,-2.270512546205387480e+03
3.948753345672090745e+03,1.110760750761970257e+03,-1.753579584487882357e+03
4.019071228658322980e+03,1.524775647069329125e+03,-1.193454313033250173e+03
3.990422761003611413e+03,1.901252230824986100e+03,-6.039291366312869513e+02
3.863513176036769437e+03,2.230920064146924688e+03,4.795379166458097475e-01
3.641467326964493623e+03,2.505661383545555054e+03,6.048888631160663181e+02
3.329752651242380125e+03,2.718711039506557881e+03,1.194416174965336722e+03
2.936044435353640893e+03,2.864823029373966619e+03,1.754545476404759938e+03
2.470036813529332903e+03,2.940399570752092131e+03,2.271484727328969711e+03
1.943204126657483812e+03,2.943579641593204997e+03,2.732505323965671323e+03
1.368518451064618375e+03,2.874284811118876860e+03,3.126255472508623825e+03
7.601302288581208586e+02,2.734221201987283166e+03,3.443039714605311929e+03
1.330198579770904814e+02,2.526837515229513883e+03,3.675057696628310623e+03
-4.973711792657933870e+02,2.257240140225588220e+03,3.816596286692780268e+03
-1.115520562306202009e+03,1.932067433880283033e+03,3.864170296221495846e+03
-1.706207383052175146e+03,1.559326262630087285e+03,3.816608331792879198e+03
-2.254886980423586010e+03,1.148194833389459745e+03,3.675081657793801696e+03
-2.748049120955377930e+03,7.087966718998119404e+02,3.443075357444569818e+03
-3.173550699519197224e+03,2.519513184765968958e+02,3.126302503696394524e+03
-3.520914764009731243e+03,-2.110921154436250617e+02,2.732563457026679316e+03
-3.781588499486233559e+03,-6.689319652208363323e+02,2.271553759382899443e+03
-3.949153819962748912e+03,-1.110294781343833847e+03,1.754625359524346095e+03
-4.019485384525596601e+03,-1.524312933067505810e+03,1.194507053538182845e+03
-3.990852150038583204e+03,-1.900792211343324652e+03,6.049910276661718171e+02
-3.863959963319581220e+03,-2.230462842329042815e+03,5.932239471934527275e-01
-3.641934147355462301e+03,-2.505207731952438735e+03,-6.038041074088085907e+02
-3.330242513074754243e+03,-2.718262323093339091e+03,-1.193318867554329017e+03
-2.936560694342777424e+03,-2.864381146010200155e+03,-1.753435557959585594e+03
-2.470583123127535600e+03,-2.939966962605743447e+03,-2.270362697119071527e+03
-1.943784299472488556e+03,-2.943159325797404563e+03,-2.731372405875582899e+03
-1.369136234145358230e+03,-2.873880374121683872e+03,-3.125113801170886290e+03
-7.607890205581170449e+02,-2.733836734195862391e+03,-3.441892482570181528e+03
-1.337224002486064762e+02,-2.526477483974565075e+03,-3.673909230291523727e+03
4.966230994715805309e+02,-2.256909211314684399e+03,-3.815452037220580223e+03
1.114726373807143545e+03,-1.931770258598069404e+03,-3.863036745882596733e+03
1.705367932855898289e+03,-1.559067249133408950e+03,-3.815492826352674911e+03
2.254004666720734804e+03,-1.147977919980682600e+03,-3.673992181599860032e+03
2.747127954032636808e+03,-7.086251159598477898e+02,-3.442020269578410989e+03
3.172596294065900111e+03,-2.518275103125546082e+02,-3.125290252082265397e+03
3.519934269406880958e+03,2.111668086496114825e+02,-2.731602283983349480e+03
3.780590475211619378e+03,6.689573230041169154e+02,-2.270651408332569190e+03
3.948148061887703534e+03,1.110271819975690278e+03,-1.753788789533511363e+03
4.018482705870450445e+03,1.524243960715805542e+03,-1.193742166878543912e+03
3.989864119013357595e+03,1.900680845957022484e+03,-6.043024157780658925e+02
3.862998598976397716e+03,2.230313988395131673e+03,1.606109544261118821e-02
3.641011576299655189e+03,2.505027511212811078e+03,6.043327462704792197e+02
3.329370592629841667e+03,2.718057954203070494e+03,1.193767419474298777e+03
2.935750612175414972e+03,2.864160769406110830e+03,1.753806544789528061e+03
2.469844988695394477e+03,2.939739409663444803e+03,2.270660610875254406e+03
1.943126748062203433e+03,2.942933835676760282e+03,2.731603626920227271e+03
1.368566068806147769e+03,2.873666267101927588e+03,3.125286418309357032e+03
7.603109198912208058e+02,2.733643056324482131e+03,3.442016013086209114e+03
1.333387198752735117e+02,2.526312643609746374e+03,3.673994246694534922e+03
-4.969124075815878427e+02,2.256780632818007689e+03,3.815509717648350488e+03
-1.114923707523342728e+03,1.931684080916041694e+03,3.863078375370807862e+03
-1.705477846238548864e+03,1.559028096412552031e+03,3.815529285052979958e+03
-2.254033545256593698e+03,1.147988766971660652e+03,3.674033461632001490e+03
-2.747083582498922624e+03,7.086872627374287958e+02,3.442075062869373596e+03
