nx,ny,nz
-3.269945483896107841e-01,-5.257408547177255809e-01,7.852841008222118946e-01
-3.744054265482048560e-01,-5.708907416030077897e-01,7.306875787388373844e-01
-4.081655845207077804e-01,-6.184689484791318081e-01,6.714886561811643784e-01
-4.297485237766114907e-01,-6.666467629555763441e-01,6.090142032437954045e-01
-4.403208929991129228e-01,-7.141260048882283051e-01,5.441889013300821309e-01
-4.408059084947627548e-01,-7.599532168102742791e-01,4.776622858210838873e-01
-4.319160528521467368e-01,-8.033886426803421577e-01,4.098965870812530388e-01
-4.141759535506912004e-01,-8.438089992295848552e-01,3.412398750432635852e-01
-3.879474701476648413e-01,-8.806340996130784804e-01,2.719932774990757585e-01
-3.534634993176632989e-01,-9.132730855269149961e-01,2.024742598511236058e-01
-3.108735891210226976e-01,-9.410891033524515503e-01,1.330748328508889744e-01
-2.603020569525184569e-01,-9.633830160396525955e-01,6.431176838363271420e-02
-2.019170881909953530e-01,-9.793975997495409924e-01,-3.135458707723407911e-03
-1.360067314565777397e-01,-9.883435708162587874e-01,-6.840434945721862725e-02
-6.305470945496639834e-02,-9.894474578719669733e-01,-1.304524117303007547e-01
1.619402869657329824e-02,-9.820185975442276005e-01,-1.880883502821026343e-01
1.006901034044977300e-01,-9.655285950738867751e-01,-2.400334042816503199e-01
1.890706998422793939e-01,-9.396922807150877022e-01,-2.850099788176327920e-01
2.796930596204849628e-01,-9.045359611302380420e-01,-3.218485473360541138e-01
3.707117647783160774e-01,-8.604382969981980711e-01,-3.495979469530496320e-01
4.601919806260316159e-01,-8.081325792979778821e-01,-3.676208308089843335e-01
5.462422178779426929e-01,-7.486663245698511604e-01,-3.756569896366317995e-01
6.271450980266257691e-01,-6.833231312608480934e-01,-3.738429139425322734e-01
7.014650052516057110e-01,-6.135197809663542889e-01,-3.626848835702439766e-01
7.681172526602717543e-01,-5.406960360467678584e-01,-3.429922488467465613e-01
8.263923490767497437e-01,-4.662143369219783340e-01,-3.157845427436427044e-01
8.759380959019692492e-01,-3.912823225132505689e-01,-2.821889371259421186e-01
9.167090231792871524e-01,-3.169047274140894821e-01,-2.433432977591103441e-01
9.488958911819257436e-01,-2.438649128845575553e-01,-2.003159802957972802e-01
9.728478333748677986e-01,-1.727316099587145604e-01,-1.540483171569752008e-01
9.889972712231932528e-01,-1.038839930747894463e-01,-1.053210021596582002e-01
9.977942964103327927e-01,-3.754776587110406766e-02,-5.474218966297970945e-02
9.996538694429768501e-01,2.616410473185277336e-02,-2.753349099629965723e-03
9.949165868812444025e-01,8.721075767872389639e-02,5.035145373947359088e-02
9.838221739217681838e-01,1.455860019064365019e-01,1.043965811161717133e-01
9.664942144312564931e-01,2.012858719014298248e-01,1.592888296265299597e-01
9.429346983980996244e-01,2.542822467962594923e-01,2.149760301083146752e-01
9.130274049955188209e-01,3.045034974395707250e-01,2.714011381225548414e-01
8.765495454508095419e-01,3.518235476725224964e-01,3.284525622873105122e-01
8.331910309292878125e-01,3.960614927347957392e-01,3.859119069835442728e-01
7.825798041142751904e-01,4.369947362020994430e-01,4.434010044238964054e-01
7.243096129676612760e-01,4.743892353334354661e-01,5.003303288452494169e-01
6.579633864258150888e-01,5.080508555457637909e-01,5.558493593612309214e-01
5.831211560888656109e-01,5.379025197095724797e-01,6.087943795828586468e-01
4.993362230051813233e-01,5.640940830131854211e-01,6.576178235909011516e-01
4.060560626669963424e-01,5.871578707106714923e-01,7.002600294418399596e-01
3.024529557728971030e-01,6.082353798277860824e-01,7.338746025514077953e-01
1.871121049426543725e-01,6.294202941219441128e-01,7.542010034011983333e-01
5.752171971671016931e-02,6.542683051621049906e-01,7.540717715318208114e-01
-9.050753242592557424e-02,6.883483139765164127e-01,7.197117375865543787e-01
-2.618638103130902506e-01,7.383137867384451658e-01,6.215465366006375225e-01
-4.492131446499262881e-01,8.003705778561558404e-01,3.970069127558453759e-01
-5.776566464442512983e-01,8.159241921992488322e-01,-2.409380424059955061e-02
-5.107546584739737217e-01,6.985453252685475123e-01,-5.011627553924909995e-01
-3.154957468324350867e-01,5.410377036577148635e-01,-7.795772167985868251e-01
-1.288716947468310781e-01,4.439163179246773394e-01,-8.867527214355062082e-01
