x,y,z
-1.495371527052195743e+07,-1.220797165125645138e+07,-5.361660171653374098e+06
-1.318547301733075455e+07,-1.286392357085702941e+07,-7.876930762362858281e+06
-1.109261697318488173e+07,-1.320310432942893729e+07,-1.019816840091490000e+07
-8.726695679591665044e+06,-1.321717881208711676e+07,-1.226822806850834191e+07
-6.145974900143012404e+06,-1.290581738156396523e+07,-1.403615567780053057e+07
-3.414001545841879677e+06,-1.227670199392892793e+07,-1.545844092363497801e+07
-5.980383939831489697e+05,-1.134533514359236881e+07,-1.650008627376069687e+07
2.232591764789634384e+06,-1.013465655898337811e+07,-1.713546602306281775e+07
5.008211789080207236e+06,-8.674477273752208799e+06,-1.734895454750448093e+07
7.660503773224153556e+06,-7.000745142711021006e+06,-1.713530858746519685e+07
1.012418856783073395e+07,-5.154659953874500468e+06,-1.649979442325717397e+07
1.233863015198681876e+07,-3.181659915119055193e+06,-1.545805703219980933e+07
1.424932566361153685e+07,-1.130304385857250076e+06,-1.403573459027104825e+07
1.580924471416217275e+07,9.489197870724516688e+05,-1.226782785650065728e+07
1.697998529478707537e+07,3.004839138295616489e+06,-1.019783991372842900e+07
1.773271803656499460e+07,4.986851331636340357e+06,-7.876707300357280299e+06
1.804889571441351622e+07,6.846169047999390401e+06,-5.361548626939098351e+06
1.792071056683847681e+07,8.537019594394402578e+06,-2.714261213158738799e+06
1.735128811153636128e+07,1.001777086198228970e+07,-3.399871911500245602e-08
1.635461253199693188e+07,1.125195601468042657e+07,2.714424100259959232e+06
1.495518524352134019e+07,1.220917171347371116e+07,5.362187231018925086e+06
1.318742476675212011e+07,1.286582772365858406e+07,7.878096726984410547e+06
1.109482238593942672e+07,1.320572934521709569e+07,1.020019598112577200e+07
8.728874093459276482e+06,1.322047816921723448e+07,1.227129054245421104e+07
6.147814870409650728e+06,1.290968110060481168e+07,1.404035779536872171e+07
3.415186283447106835e+06,1.228096229385106266e+07,1.546380536065520719e+07
5.982725610728566535e+05,1.134977750739134103e+07,1.650654702481072024e+07
-2.233556364095645491e+06,1.013903527381981537e+07,1.714286946282095462e+07
-5.010553987970408052e+06,8.678534081231616437e+06,1.735706816246322170e+07
-7.664316328607190400e+06,7.004229342885077931e+06,1.714383665754131973e+07
-1.012946846935776435e+07,5.157348178889292292e+06,1.650839928963124566e+07
-1.234527681116236746e+07,3.183373833828805480e+06,1.546638408596078865e+07
-1.425714711517069302e+07,1.130924809673222713e+06,1.404343880173970759e+07
-1.581797124239249714e+07,-9.494435802995993290e+05,1.227459956179419719e+07
-1.698928925293705985e+07,-3.006485600121318828e+06,1.020342768510345928e+07
-1.774223811598525196e+07,-4.989528598631482571e+06,7.880936030488555320e+06
-1.805826358308086917e+07,-6.849722396277881227e+06,5.364331416766610928e+06
-1.792957765643402189e+07,-8.541243674535728991e+06,2.715604217794188764e+06
-1.735935038929490745e+07,-1.002242562021646462e+07,-2.553237767094229938e-08
-1.636163133075206354e+07,-1.125678494075341336e+07,-2.715589031343441922e+06
-1.496100260743194818e+07,-1.221392091542264074e+07,-5.364273049012668431e+06
-1.319197225823245384e+07,-1.287026431707953289e+07,-7.880813373970428482e+06
-1.109812284402198344e+07,-1.320965775025492162e+07,-1.020323030813884176e+07
-8.731036389355244115e+06,-1.322375311457469687e+07,-1.227433035731404275e+07
-6.149022232598735951e+06,-1.291221641781316884e+07,-1.404311516485393420e+07
-3.415679229850676376e+06,-1.228273492225053534e+07,-1.546603739914624952e+07
-5.983278557152214926e+05,-1.135082649731579423e+07,-1.650807262313243560e+07
2.233649036040637642e+06,-1.013945595007118955e+07,-1.714358073345659301e+07
5.010515771864380687e+06,-8.678467888994172215e+06,-1.735693577798840404e+07
7.663901475448122248e+06,-7.003850218832018785e+06,-1.714290869808713719e+07
1.012848325996305794e+07,-5.156846566401538439e+06,-1.650679365453577600e+07
1.234359344906983152e+07,-3.182939759249465074e+06,-1.546427513975584507e+07
1.425471148390222155e+07,-1.130731607217863668e+06,-1.404103967950388417e+07
1.581480413457592204e+07,9.492534806884088321e+05,-1.227214191538539156e+07
1.698548127637232468e+07,3.005811726921778172e+06,-1.020114069046069309e+07
1.773793897635664418e+07,4.988319580919944681e+06,-7.879026392923183739e+06
1.805366683353864774e+07,6.847978792406784371e+06,-5.362965920694857836e+06
1.792490227833957225e+07,8.539016430573796853e+06,-2.714896087534935679e+06
1.735482072740384564e+07,1.001981041870444641e+07,8.505707180629222226e-08
1.635745695734445937e+07,1.125391297629209235e+07,2.714896198067332152e+06
1.495735964739474468e+07,1.221094686168033816e+07,5.362966864336406812e+06
1.318898758103008755e+07,1.286735242613987997e+07,7.879030343840291724e+06
1.109586232888954505e+07,1.320696714828026295e+07,1.020115206870728172e+07
8.729498201428527012e+06,1.322142342351868190e+07,1.227216793055035174e+07
6.148135714941852726e+06,1.291035483601848967e+07,1.404109053897368722e+07
3.415309625190208200e+06,1.228140582904114388e+07,1.546436384635748155e+07
5.982866349020358175e+05,1.135004450080104731e+07,1.650693532663170062e+07
-2.233588922332336660e+06,1.013918306910906546e+07,1.714311935201490298e+07
-5.010600853473057039e+06,8.678615254662981257e+06,1.735723050932612270e+07
-7.664376483092452399e+06,7.004284316582839936e+06,1.714397121340035275e+07
-1.012956952005217038e+07,5.157399628145113587e+06,1.650856397598342597e+07
-1.234546905417584628e+07,3.183423405935379211e+06,1.546662493145399168e+07
-1.425749508694580570e+07,1.130952411963453284e+06,1.404378155757206306e+07
-1.581854373262475803e+07,-9.494779429349111160e+05,1.227504380892578326e+07
-1.699014886620857567e+07,-3.006637720371046104e+06,1.020394395165942796e+07
-1.774343145936084911e+07,-4.989864194448819384e+06,7.881466102441257797e+06
-1.805981303164005280e+07,-6.850310121252115816e+06,5.364791691119368188e+06
-1.793147542942887917e+07,-8.542147730498412624e+06,2.715891653474263847e+06
-1.736155539035878330e+07,-1.002369867817433551e+07,-1.446445368113985029e-07
-1.636406890380403027e+07,-1.125846198841868341e+07,-2.715993602654769085e+06
-1.496356707578202710e+07,-1.221601450596856512e+07,-5.365192540093186311e+06
-1.319453188005374745e+07,-1.287276151831275038e+07,-7.882342478298926726e+06
-1.110052665631326288e+07,-1.321251891318399273e+07,-1.020544029002227075e+07
-8.733122333109544590e+06,-1.322691241937982477e+07,-1.227726283423954993e+07
-6.150625948808623478e+06,-1.291558403139325045e+07,-1.404677772624584474e+07
-3.416642971346906386e+06,-1.228620052324382402e+07,-1.547040117601776123e+07
-5.985090484992853599e+05,-1.135426389010101929e+07,-1.651307179475628957e+07
2.234369952702869661e+06,-1.014272848869471624e+07,-1.714911387353539094e+07
5.012228517369136214e+06,-8.681434451229067519e+06,-1.736286890245807916e+07
7.666660363295326009e+06,-7.006371498276406899e+06,-1.714907988421558961e+07
1.013230319193509035e+07,-5.158791458106466569e+06,-1.651301915022163838e+07
1.234844779421705753e+07,-3.184191508850425016e+06,-1.547035675037351809e+07
1.426053194626424275e+07,-1.131193305847741896e+06,-1.404677289571598172e+07
1.582148244904531538e+07,9.496543337878418388e+05,-1.227732422572110966e+07
1.699287247099819779e+07,3.007119699249553028e+06,-1.020557969427945092e+07
1.774586594060007855e+07,4.990548827001209371e+06,-7.882547476210994646e+06
1.806192598835078999e+07,6.851111591827355325e+06,-5.365419359445107169e+06
1.793327022227212787e+07,8.543002729055048898e+06,-2.716163491836094763e+06
1.736306179831295460e+07,1.002456840321206301e+07,-4.252723610940326188e-08
1.636533167057779059e+07,1.125933077061494067e+07,2.716203187844017055e+06
